id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_nakesmas,satuan,tahun
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,63,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,86,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,37,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,82,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,40,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,176,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,7,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,55,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,20,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,32,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,216,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,92,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,94,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,108,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,95,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,82,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,62,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,105,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,45,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,154,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,61,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,46,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,22,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,90,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,99,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,31,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,175,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,37,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,105,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,65,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,78,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,17,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,265,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,120,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,78,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,80,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,86,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,127,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,37,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,76,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,122,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,55,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,71,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,84,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,41,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,95,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,35,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,166,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,35,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,100,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,82,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,22,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,18,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,291,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,74,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,135,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,134,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,105,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,86,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,97,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,40,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,86,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,102,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,66,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,77,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,50,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,47,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,70,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,29,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,192,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,34,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,115,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,120,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,45,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,58,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,39,ORANG,2021
